icd10,description
"T806","Other serum reactions"
"T808","Other complications following infusion, transfusion and therapeutic injection"
"T809","Unspecified complication following infusion, transfusion and therapeutic injection"
"T81","Complications of procedures, not elsewhere classified"
"T810","Haemorrhage and haematoma complicating a procedure, not elsewhere classified"
"T811","Shock during or resulting from a procedure, not elsewhere classified"
"T812","Accidental puncture and laceration during a procedure, not elsewhere classified"
"T813","Disruption of operation wound, not elsewhere classified"
"T814","Infection following a procedure, not elsewhere classified"
"T815","Foreign body accidentally left in body cavity or operation wound following a procedure"
"T816","Acute reaction to foreign substance accidentally left during a procedure"
"T817","Vascular complications following a procedure, not elsewhere classified"
"T818","Other complications of procedures, not elsewhere classified"
"T819","Unspecified complication of procedure"
"T82","Complications of cardiac and vascular prosthetic devices, implants and grafts"
"T820","Mechanical complication of heart valve prosthesis"
"T821","Mechanical complication of cardiac electronic device"
"T822","Mechanical complication of coronary artery bypass and valve grafts"
"T823","Mechanical complication of other vascular grafts"
"T824","Mechanical complication of vascular dialysis catheter"
"T825","Mechanical complication of other cardiac and vascular devices and implants"
"T826","Infection and inflammatory reaction due to cardiac valve prosthesis"
"T827","Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts"
"T828","Other specified complications of cardiac and vascular prosthetic devices, implants and grafts"
"T829","Unspecified complication of cardiac and vascular prosthetic device, implant and graft"
"T83","Complications of genitourinary prosthetic devices, implants and grafts"
"T830","Mechanical complication of urinary (indwelling) catheter"
"T831","Mechanical complication of other urinary devices and implants"
"T832","Mechanical complication of graft of urinary organ"
"T833","Mechanical complication of intrauterine contraceptive device"
"T834","Mechanical complication of other prosthetic devices, implants and grafts in genital tract"
"T835","Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system"
"T836","Infection and inflammatory reaction due to prosthetic device, implant and graft in genital tract"
"T838","Other complications of genitourinary prosthetic devices, implants and grafts"
"T839","Unspecified complication of genitourinary prosthetic device, implant and graft"
"T84","Complications of internal orthopaedic prosthetic devices, implants and grafts"
"T840","Mechanical complication of internal joint prosthesis"
"T841","Mechanical complication of internal fixation device of bones of limb"
"T842","Mechanical complication of internal fixation device of other bones"
"T843","Mechanical complication of other bone devices, implants and grafts"
"T844","Mechanical complication of other internal orthopaedic devices, implants and grafts"
"T845","Infection and inflammatory reaction due to internal joint prosthesis"
"T846","Infection and inflammatory reaction due to internal fixation device [any site]"
"T847","Infection and inflammatory reaction due to other internal orthopaedic prosthetic devices, implants and grafts"
"T848","Other complications of internal orthopaedic prosthetic devices, implants and grafts"
"T849","Unspecified complication of internal orthopaedic prosthetic device, implant and graft"
"T85","Complications of other internal prosthetic devices, implants and grafts"
"T850","Mechanical complication of ventricular intracranial (communicating) shunt"
"T851","Mechanical complication of implanted electronic stimulator of nervous system"
"T852","Mechanical complication of intraocular lens"
"T853","Mechanical complication of other ocular prosthetic devices, implants and grafts"
"T854","Mechanical complication of breast prosthesis and implant"
"T855","Mechanical complication of gastrointestinal prosthetic devices, implants and grafts"
"T856","Mechanical complication of other specified internal prosthetic devices, implants and grafts"
"T857","Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts"
"T858","Other complications of internal prosthetic devices, implants and grafts, not elsewhere classified"
"T859","Unspecified complication of internal prosthetic device, implant and graft"
"T86","Failure and rejection of transplanted organs and tissues"
"T860","Bone-marrow transplant rejection"
"T861","Kidney transplant failure and rejection"
"T862","Heart transplant failure and rejection"
"T863","Heart-lung transplant failure and rejection"
"T864","Liver transplant failure and rejection"
"T868","Failure and rejection of other transplanted organs and tissues"
"T869","Failure and rejection of unspecified transplanted organ and tissue"
"T87","Complications peculiar to reattachment and amputation"
"T870","Complications of reattached (part of) upper extremity"
"T871","Complications of reattached (part of) lower extremity"
"T872","Complications of other reattached body part"
"T873","Neuroma of amputation stump"
"T874","Infection of amputation stump"
"T875","Necrosis of amputation stump"
"T876","Other and unspecified complications of amputation stump"
"T88","Other complications of surgical and medical care, not elsewhere classified"
"T880","Infection following immunization"
"T881","Other complications following immunization, not elsewhere classified"
"T882","Shock due to anaesthesia"
"T883","Malignant hyperthermia due to anaesthesia"
"T884","Failed or difficult intubation"
"T885","Other complications of anaesthesia"
"T886","Anaphylactic shock due to adverse effect of correct drug or medicament properly administered"
"T887","Unspecified adverse effect of drug or medicament"
"T888","Other specified complications of surgical and medical care, not elsewhere classified"
"T889","Complication of surgical and medical care, unspecified"
"T90","Sequelae of injuries of head"
"T900","Sequelae of superficial injury of head"
"T901","Sequelae of open wound of head"
"T902","Sequelae of fracture of skull and facial bones"
"T903","Sequelae of injury of cranial nerves"
"T904","Sequelae of injury of eye and orbit"
"T905","Sequelae of intracranial injury"
"T908","Sequelae of other specified injuries of head"
"T909","Sequelae of unspecified injury of head"
"T91","Sequelae of injuries of neck and trunk"
"T910","Sequelae of superficial injury and open wound of neck and trunk"
"T911","Sequelae of fracture of spine"
"T912","Sequelae of other fracture of thorax and pelvis"
"T913","Sequelae of injury of spinal cord"
"T914","Sequelae of injury of intrathoracic organs"
"T915","Sequelae of injury of intra-abdominal and pelvic organs"
"T918","Sequelae of other specified injuries of neck and trunk"
"T919","Sequelae of unspecified injury of neck and trunk"
"T92","Sequelae of injuries of upper limb"
"T920","Sequelae of open wound of upper limb"
"T921","Sequelae of fracture of arm"
"T922","Sequelae of fracture at wrist and hand level"
"T923","Sequelae of dislocation, sprain and strain of upper limb"
"T924","Sequelae of injury of nerve of upper limb"
"T925","Sequelae of injury of muscle and tendon of upper limb"
"T926","Sequelae of crushing injury and traumatic amputation of upper limb"
"T928","Sequelae of other specified injuries of upper limb"
"T929","Sequelae of unspecified injury of upper limb"
"T93","Sequelae of injuries of lower limb"
"T930","Sequelae of open wound of lower limb"
"T931","Sequelae of fracture of femur"
"T932","Sequelae of other fractures of lower limb"
"T933","Sequelae of dislocation, sprain and strain of lower limb"
"T934","Sequelae of injury of nerve of lower limb"
"T935","Sequelae of injury of muscle and tendon of lower limb"
"T936","Sequelae of crushing injury and traumatic amputation of lower limb"
"T938","Sequelae of other specified injuries of lower limb"
"T939","Sequelae of unspecified injury of lower limb"
"T94","Sequelae of injuries involving multiple and unspecified body regions"
"T940","Sequelae of injuries involving multiple body regions"
"T941","Sequelae of injuries, not specified by body region"
"T95","Sequelae of burns, corrosions and frostbite"
"T950","Sequelae of burn, corrosion and frostbite of head and neck"
"T951","Sequelae of burn, corrosion and frostbite of trunk"
"T952","Sequelae of burn, corrosion and frostbite of upper limb"
"T953","Sequelae of burn, corrosion and frostbite of lower limb"
"T954","Sequelae of burn and corrosion classifiable only according to extent of body surface involved"
"T958","Sequelae of other specified burn, corrosion and frostbite"
"T959","Sequelae of unspecified burn, corrosion and frostbite"
"T96","Sequelae of poisoning by drugs, medicaments and biological substances"
"T97","Sequelae of toxic effects of substances chiefly nonmedicinal as to source"
"T98","Sequelae of other and unspecified effects of external causes"
"T980","Sequelae of effects of foreign body entering through natural orifice"
"T981","Sequelae of other and unspecified effects of external causes"
"T982","Sequelae of certain early complications of trauma"
"T983","Sequelae of complications of surgical and medical care, not elsewhere classified"
"V01","Pedestrian injured in collision with pedal cycle"
"V02","Pedestrian injured in collision with two- or three-wheeled motor vehicle"
"V03","Pedestrian injured in collision with car, pick-up truck or van"
"V04","Pedestrian injured in collision with heavy transport vehicle or bus"
"V05","Pedestrian injured in collision with railway train or railway vehicle"
"V06","Pedestrian injured in collision with other nonmotor vehicle"
"V09","Pedestrian injured in other and unspecified transport accidents"
"V090","Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles"
"V091","Pedestrian injured in unspecified nontraffic accident"
"V092","Pedestrian injured in traffic accident involving other and unspecified motor vehicles"
"V093","Pedestrian injured in unspecified traffic accident"
"V099","Pedestrian injured in unspecified transport accident"
"V10","Pedal cyclist injured in collision with pedestrian or animal"
"V11","Pedal cyclist injured in collision with other pedal cycle"
"V12","Pedal cyclist injured in collision with two- or three-wheeled motor vehicle"
"V13","Pedal cyclist injured in collision with car, pick-up truck or van"
"V14","Pedal cyclist injured in collision with heavy transport vehicle or bus"
"V15","Pedal cyclist injured in collision with railway train or railway vehicle"
"V16","Pedal cyclist injured in collision with other nonmotor vehicle"
"V17","Pedal cyclist injured in collision with fixed or stationary object"
"V18","Pedal cyclist injured in noncollision transport accident"
"V19","Pedal cyclist injured in other and unspecified transport accidents"
"V190","Driver injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V191","Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V192","Unspecified pedal cyclist injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V193","Pedal cyclist [any] injured in unspecified nontraffic accident"
"V194","Driver injured in collision with other and unspecified motor vehicles in traffic accident"
"V195","Passenger injured in collision with other and unspecified motor vehicles in traffic accident"
"V196","Unspecified pedal cyclist injured in collision with other and unspecified motor vehicles in traffic accident"
"V198","Pedal cyclist [any] injured in other specified transport accidents"
"V199","Pedal cyclist [any] injured in unspecified traffic accident"
"V20","Motorcycle rider injured in collision with pedestrian or animal"
"V21","Motorcycle rider injured in collision with pedal cycle"
"V22","Motorcycle rider injured in collision with two- or three-wheeled motor vehicle"
"V23","Motorcycle rider injured in collision with car, pick-up truck or van"
"V24","Motorcycle rider injured in collision with heavy transport vehicle or bus"
"V25","Motorcycle rider injured in collision with railway train or railway vehicle"
"V26","Motorcycle rider injured in collision with other nonmotor vehicle"
"V27","Motorcycle rider injured in collision with fixed or stationary object"
"V28","Motorcycle rider injured in noncollision transport accident"
"V29","Motorcycle rider injured in other and unspecified transport accidents"
"V290","Driver injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V291","Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V292","Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V293","Motorcycle rider [any] injured in unspecified nontraffic accident"
"V294","Driver injured in collision with other and unspecified motor vehicles in traffic accident"
"V295","Passenger injured in collision with other and unspecified motor vehicles in traffic accident"
"V296","Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in traffic accident"
"V298","Motorcycle rider [any] injured in other specified transport accidents"
"V299","Motorcycle rider [any] injured in unspecified traffic accident"
"V30","Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal"
"V31","Occupant of three-wheeled motor vehicle injured in collision with pedal cycle"
"V32","Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle"
"V33","Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van"
"V34","Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus"
"V35","Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle"
"V36","Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle"
"V37","Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object"
"V38","Occupant of three-wheeled motor vehicle injured in noncollision transport accident"
"V39","Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents"
"V390","Driver injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V391","Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V392","Unspecified occupant of three-wheeled motor vehicle injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V393","Occupant [any] of three-wheeled motor vehicle injured in unspecified nontraffic accident"
"V394","Driver injured in collision with other and unspecified motor vehicles in traffic accident"
"V395","Passenger injured in collision with other and unspecified motor vehicles in traffic accident"
"V396","Unspecified occupant of three-wheeled motor vehicle injured in collision with other and unspecified motor vehicles in traffic accident"
"V398","Occupant [any] of three-wheeled motor vehicle injured in other specified transport accidents"
"V399","Occupant [any] of three-wheeled motor vehicle injured in unspecified traffic accident"
"V40","Car occupant injured in collision with pedestrian or animal"
"V41","Car occupant injured in collision with pedal cycle"
"V42","Car occupant injured in collision with two- or three-wheeled motor vehicle"
"V43","Car occupant injured in collision with car, pick-up truck or van"
"V44","Car occupant injured in collision with heavy transport vehicle or bus"
"V45","Car occupant injured in collision with railway train or railway vehicle"
"V46","Car occupant injured in collision with other nonmotor vehicle"
"V47","Car occupant injured in collision with fixed or stationary object"
"V48","Car occupant injured in noncollision transport accident"
"V49","Car occupant injured in other and unspecified transport accidents"
"V490","Driver injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V491","Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V492","Unspecified car occupant injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V493","Car occupant [any] injured in unspecified nontraffic accident"
"V494","Driver injured in collision with other and unspecified motor vehicles in traffic accident"
"V495","Passenger injured in collision with other and unspecified motor vehicles in traffic accident"
"V496","Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident"
"V498","Car occupant [any] injured in other specified transport accidents"
"V499","Car occupant [any] injured in unspecified traffic accident"
"V50","Occupant of pick-up truck or van injured in collision with pedestrian or animal"
"V51","Occupant of pick-up truck or van injured in collision with pedal cycle"
"V52","Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle"
"V53","Occupant of pick-up truck or van injured in collision with car, pick-up truck or van"
"V54","Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus"
"V55","Occupant of pick-up truck or van injured in collision with railway train or railway vehicle"
"V56","Occupant of pick-up truck or van injured in collision with other nonmotor vehicle"
"V57","Occupant of pick-up truck or van injured in collision with fixed or stationary object"
"V58","Occupant of pick-up truck or van injured in noncollision transport accident"
"V59","Occupant of pick-up truck or van injured in other and unspecified transport accidents"
"V590","Driver injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V591","Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V592","Unspecified occupant of pick-up truck or van injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V593","Occupant [any] of pick-up truck or van injured in unspecified nontraffic accident"
"V594","Driver injured in collision with other and unspecified motor vehicles in traffic accident"
"V595","Passenger injured in collision with other and unspecified motor vehicles in traffic accident"
"V596","Unspecified occupant of pick-up truck or van injured in collision with other and unspecified motor vehicles in traffic accident"
"V598","Occupant [any] of pick-up truck or van injured in other specified transport accidents"
"V599","Occupant [any] of pick-up truck or van injured in unspecified traffic accident"
"V60","Occupant of heavy transport vehicle injured in collision with pedestrian or animal"
"V61","Occupant of heavy transport vehicle injured in collision with pedal cycle"
"V62","Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle"
"V63","Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van"
"V64","Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus"
"V65","Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle"
"V66","Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle"
"V67","Occupant of heavy transport vehicle injured in collision with fixed or stationary object"
"V68","Occupant of heavy transport vehicle injured in noncollision transport accident"
"V69","Occupant of heavy transport vehicle injured in other and unspecified transport accidents"
"V690","Driver injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V691","Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V692","Unspecified occupant of heavy transport vehicle injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V693","Occupant [any] of heavy transport vehicle injured in unspecified nontraffic accident"
"V694","Driver injured in collision with other and unspecified motor vehicles in traffic accident"
"V695","Passenger injured in collision with other and unspecified motor vehicles in traffic accident"
"V696","Unspecified occupant of heavy transport vehicle injured in collision with other and unspecified motor vehicles in traffic accident"
"V698","Occupant [any] of heavy transport vehicle injured in other specified transport accidents"
"V699","Occupant [any] of heavy transport vehicle injured in unspecified traffic accident"
"V70","Bus occupant injured in collision with pedestrian or animal"
"V71","Bus occupant injured in collision with pedal cycle"
"V72","Bus occupant injured in collision with two- or three-wheeled motor vehicle"
"V73","Bus occupant injured in collision with car, pick-up truck or van"
"V74","Bus occupant injured in collision with heavy transport vehicle or bus"
"V75","Bus occupant injured in collision with railway train or railway vehicle"
"V76","Bus occupant injured in collision with other nonmotor vehicle"
"V77","Bus occupant injured in collision with fixed or stationary object"
"V78","Bus occupant injured in noncollision transport accident"
"V79","Bus occupant injured in other and unspecified transport accidents"
"V790","Driver injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V791","Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V792","Unspecified bus occupant injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V793","Bus occupant [any] injured in unspecified nontraffic accident"
"V794","Driver injured in collision with other and unspecified motor vehicles in traffic accident"
"V795","Passenger injured in collision with other and unspecified motor vehicles in traffic accident"
"V796","Unspecified bus occupant injured in collision with other and unspecified motor vehicles in traffic accident"
"V798","Bus occupant [any] injured in other specified transport accidents"
"V799","Bus occupant [any] injured in unspecified traffic accident"
"V80","Animal-rider or occupant of animal-drawn vehicle injured in transport accident"
"V800","Rider or occupant injured by fall from or being thrown from animal or animal-drawn vehicle in noncollision accident"
"V801","Rider or occupant injured in collision with pedestrian or animal"
"V802","Rider or occupant injured in collision with pedal cycle"
"V803","Rider or occupant injured in collision with two- or three-wheeled motor vehicle"
"V804","Rider or occupant injured in collision with car, pick-up truck, van, heavy transport vehicle or bus"
"V805","Rider or occupant injured in collision with other specified motor vehicle"
"V806","Rider or occupant injured in collision with railway train or railway vehicle"
"V807","Rider or occupant injured in collision with other nonmotor vehicle"
"V808","Rider or occupant injured in collision with fixed or stationary object"
"V809","Rider or occupant injured in other and unspecified transport accidents"
"V81","Occupant of railway train or railway vehicle injured in transport accident"
"V810","Occupant of railway train or railway vehicle injured in collision with motor vehicle in nontraffic accident"
"V811","Occupant of railway train or railway vehicle injured in collision with motor vehicle in traffic accident"
"V812","Occupant of railway train or railway vehicle injured in collision with or hit by rolling stock"
"V813","Occupant of railway train or railway vehicle injured in collision with other object"
"V814","Person injured while boarding or alighting from railway train or railway vehicle"
"V815","Occupant of railway train or railway vehicle injured by fall in railway train or railway vehicle"
"V816","Occupant of railway train or railway vehicle injured by fall from railway train or railway vehicle"
"V817","Occupant of railway train or railway vehicle injured in derailment without antecedent collision"
"V818","Occupant of railway train or railway vehicle injured in other specified railway accidents"
"V819","Occupant of railway train or railway vehicle injured in unspecified railway accident"
"V82","Occupant of streetcar injured in transport accident"
"V820","Occupant of streetcar injured in collision with motor vehicle in nontraffic accident"
"V821","Occupant of streetcar injured in collision with motor vehicle in traffic accident"
"V822","Occupant of streetcar injured in collision with or hit by rolling stock"
"V823","Occupant of streetcar injured in collision with other object"
"V824","Person injured while boarding or alighting from streetcar"
"V825","Occupant of streetcar injured by fall in streetcar"
"V826","Occupant of streetcar injured by fall from streetcar"
"V827","Occupant of streetcar injured in derailment without antecedent collision"
"V828","Occupant of streetcar injured in other specified transport accidents"
"V829","Occupant of streetcar injured in unspecified traffic accident"
"V83","Occupant of special vehicle mainly used on industrial premises injured in transport accident"
"V830","Driver of special industrial vehicle injured in traffic accident"
"V831","Passenger of special industrial vehicle injured in traffic accident"
"V832","Person on outside of special industrial vehicle injured in traffic accident"
"V833","Unspecified occupant of special industrial vehicle injured in traffic accident"
"V834","Person injured while boarding or alighting from special industrial vehicle"
"V835","Driver of special industrial vehicle injured in nontraffic accident"
"V836","Passenger of special industrial vehicle injured in nontraffic accident"
"V837","Person on outside of special industrial vehicle injured in nontraffic accident"
"V839","Unspecified occupant of special industrial vehicle injured in nontraffic accident"
"V84","Occupant of special vehicle mainly used in agriculture injured in transport accident"
"V840","Driver of special agricultural vehicle injured in traffic accident"
"V841","Passenger of special agricultural vehicle injured in traffic accident"
"V842","Person on outside of special agricultural vehicle injured in traffic accident"
"V843","Unspecified occupant of special agricultural vehicle injured in traffic accident"
"V844","Person injured while boarding or alighting from special agricultural vehicle"
"V845","Driver of special agricultural vehicle injured in nontraffic accident"
"V846","Passenger of special agricultural vehicle injured in nontraffic accident"
"V847","Person on outside of special agricultural vehicle injured in nontraffic accident"
"V849","Unspecified occupant of special agricultural vehicle injured in nontraffic accident"
"V85","Occupant of special construction vehicle injured in transport accident"
"V850","Driver of special construction vehicle injured in traffic accident"
"V851","Passenger of special construction vehicle injured in traffic accident"
"V852","Person on outside of special construction vehicle injured in traffic accident"
"V853","Unspecified occupant of special construction vehicle injured in traffic accident"
"V854","Person injured while boarding or alighting from special construction vehicle"
"V855","Driver of special construction vehicle injured in nontraffic accident"
"V856","Passenger of special construction vehicle injured in nontraffic accident"
"V857","Person on outside of special construction vehicle injured in nontraffic accident"
"V859","Unspecified occupant of special construction vehicle injured in nontraffic accident"
"V86","Occupant of special all-terrain or other motor vehicle designed primarily for off-road use, injured in transport accident"
"V860","Driver of all-terrain or other off-road motor vehicle injured in traffic accident"
"V861","Passenger of all-terrain or other off-road motor vehicle injured in traffic accident"
"V862","Person on outside of all-terrain or other off-road motor vehicle injured in traffic accident"
"V863","Unspecified occupant of all-terrain or other off-road motor vehicle injured in traffic accident"
"V864","Person injured while boarding or alighting from all-terrain or other off-road motor vehicle"
"V865","Driver of all-terrain or other off-road motor vehicle injured in nontraffic accident"
"V866","Passenger of all-terrain or other off-road motor vehicle injured in nontraffic accident"
"V867","Person on outside of all-terrain or other off-road motor vehicle injured in nontraffic accident"
"V869","Unspecified occupant of all-terrain or other off-road motor vehicle injured in nontraffic accident"
"V87","Traffic accident of specified type but victim's mode of transport unknown"
"V870","Person injured in collision between car and two- or three-wheeled motor vehicle (traffic)"
"V871","Person injured in collision between other motor vehicle and two- or three-wheeled motor vehicle (traffic)"
"V872","Person injured in collision between car and pick-up truck or van (traffic)"
"V873","Person injured in collision between car and bus (traffic)"
"V874","Person injured in collision between car and heavy transport vehicle (traffic)"
"V875","Person injured in collision between heavy transport vehicle and bus (traffic)"
"V876","Person injured in collision between railway train or railway vehicle and car (traffic)"
"V877","Person injured in collision between other specified motor vehicles (traffic)"
"V878","Person injured in other specified noncollision transport accidents involving motor vehicle (traffic)"
"V879","Person injured in other specified (collision)(noncollision) transport accidents involving nonmotor vehicle (traffic)"
"V88","Nontraffic accident of specified type but victim's mode of transport unknown"
"V880","Person injured in collision between car and two- or three-wheeled motor vehicle, nontraffic"
"V881","Person injured in collision between other motor vehicle and two- or three-wheeled motor vehicle, nontraffic"
"V882","Person injured in collision between car and pick-up truck or van, nontraffic"
"V883","Person injured in collision between car and bus, nontraffic"
"V884","Person injured in collision between car and heavy transport vehicle, nontraffic"
"V885","Person injured in collision between heavy transport vehicle and bus, nontraffic"
"V886","Person injured in collision between railway train or railway vehicle and car, nontraffic"
"V887","Person injured in collision between other specified motor vehicles, nontraffic"
"V888","Person injured in other specified noncollision transport accidents involving motor vehicle, nontraffic"
"V889","Person injured in other specified (collision)(noncollision) transport accidents involving nonmotor vehicle, nontraffic"
"V89","Motor- or nonmotor-vehicle accident, type of vehicle unspecified"
"V890","Person injured in unspecified motor-vehicle accident, nontraffic"
"V891","Person injured in unspecified nonmotor-vehicle accident, nontraffic"
"V892","Person injured in unspecified motor-vehicle accident, traffic"
"V893","Person injured in unspecified nonmotor-vehicle accident, traffic"
"V899","Person injured in unspecified vehicle accident"
"V90","Accident to watercraft causing drowning and submersion"
"V91","Accident to watercraft causing other injury"
"V92","Water-transport-related drowning and submersion without accident to watercraft"
"V93","Accident on board watercraft without accident to watercraft, not causing drowning and submersion"
"V94","Other and unspecified water transport accidents"
"V95","Accident to powered aircraft causing injury to occupant"
"V950","Helicopter accident injuring occupant"
"V951","Ultralight, microlight or powered-glider accident injuring occupant"
"V952","Accident to other private fixed-wing aircraft, injuring occupant"
"V953","Accident to commercial fixed-wing aircraft, injuring occupant"
"V954","Spacecraft accident injuring occupant"
"V958","Other aircraft accidents injuring occupant"
"V959","Unspecified aircraft accident injuring occupant"
"V96","Accident to nonpowered aircraft causing injury to occupant"
"V960","Balloon accident injuring occupant"
"V961","Hang-glider accident injuring occupant"
"V962","Glider (nonpowered) accident injuring occupant"
"V968","Other nonpowered-aircraft accidents injuring occupant"
"V969","Unspecified nonpowered-aircraft accident injuring occupant"
"V97","Other specified air transport accidents"
"V970","Occupant of aircraft injured in other specified air transport accidents"
"V971","Person injured while boarding or alighting from aircraft"
"V972","Parachutist injured in air transport accident"
"V973","Person on ground injured in air transport accident"
"V978","Other air transport accidents, not elsewhere classified"
"V98","Other specified transport accidents"
"V99","Unspecified transport accident"
"W00","Fall on same level involving ice and snow"
"W01","Fall on same level from slipping, tripping and stumbling"
"W02","Fall involving ice-skates, skis, roller-skates or skateboards"
"W03","Other fall on same level due to collision with, or pushing by, another person"
"W04","Fall while being carried or supported by other persons"
"W05","Fall involving wheelchair"
"W06","Fall involving bed"
"W07","Fall involving chair"
"W08","Fall involving other furniture"
"W09","Fall involving playground equipment"
"W10","Fall on and from stairs and steps"
"W11","Fall on and from ladder"
"W12","Fall on and from scaffolding"
"W13","Fall from, out of or through building or structure"
"W14","Fall from tree"
"W15","Fall from cliff"
"W16","Diving or jumping into water causing injury other than drowning or submersion"
"W17","Other fall from one level to another"
"W18","Other fall on same level"
"W19","Unspecified fall"
"W20","Struck by thrown, projected or falling object(s)"
"W21","Striking against or struck by sports equipment"
"W22","Striking against or struck by other object(s)"
"W23","Caught, crushed, jammed or pinched in or between objects"
"W24","Contact with lifting and transmission device(s), not elsewhere classified"
"W25","Contact with sharp glass"
"W26","Contact with other sharp object(s)"
"W260","Contact with knife, sword or dagger"
"W268","Contact with other sharp object(s), not elsewhere classified"
"W269","Contact with unspecified sharp object(s)"
"W27","Contact with nonpowered hand tool"
"W28","Contact with powered lawnmower"
"W29","Contact with other powered hand tools and household machinery"
"W30","Contact with agricultural machinery"
"W31","Contact with other and unspecified machinery"
"W32","Handgun discharge"
"W33","Rifle, shotgun and larger firearm discharge"
"W34","Discharge from other and unspecified firearms"
"W35","Explosion and rupture of boiler"
"W36","Explosion and rupture of gas cylinder"
"W37","Explosion and rupture of pressurized tyre, pipe or hose"
"W38","Explosion and rupture of other specified pressurized devices"
"W39","Discharge of firework"
"W40","Explosion of other materials"
"W41","Exposure to high-pressure jet"
"W42","Exposure to noise"
"W43","Exposure to vibration"
"W44","Foreign body entering into or through eye or natural orifice"
"W45","Foreign body or object entering through skin"
"W46","Contact with hypodermic needle"
"W49","Exposure to other and unspecified inanimate mechanical forces"
"W50","Hit, struck, kicked, twisted, bitten or scratched by another person"
"W51","Striking against or bumped into by another person"
"W52","Crushed, pushed or stepped on by crowd or human stampede"
"W53","Bitten by rat"
"W54","Bitten or struck by dog"
"W55","Bitten or struck by other mammals"
"W56","Contact with marine animal"
"W57","Bitten or stung by nonvenomous insect and other nonvenomous arthropods"
"W58","Bitten or struck by crocodile or alligator"
"W59","Bitten or crushed by other reptiles"
"W60","Contact with plant thorns and spines and sharp leaves"
"W64","Exposure to other and unspecified animate mechanical forces"
"W65","Drowning and submersion while in bath-tub"
"W66","Drowning and submersion following fall into bath-tub"
"W67","Drowning and submersion while in swimming-pool"
"W68","Drowning and submersion following fall into swimming-pool"
"W69","Drowning and submersion while in natural water"
"W70","Drowning and submersion following fall into natural water"
"W73","Other specified drowning and submersion"
"W74","Unspecified drowning and submersion"
"W75","Accidental suffocation and strangulation in bed"
"W76","Other accidental hanging and strangulation"
"W77","Threat to breathing due to cave-in, falling earth and other substances"
"W78","Inhalation of gastric contents"
"W79","Inhalation and ingestion of food causing obstruction of respiratory tract"
"W80","Inhalation and ingestion of other objects causing obstruction of respiratory tract"
"W81","Confined to or trapped in a low-oxygen environment"
"W83","Other specified threats to breathing"
"W84","Unspecified threat to breathing"
"W85","Exposure to electric transmission lines"
"W86","Exposure to other specified electric current"
"W87","Exposure to unspecified electric current"
"W88","Exposure to ionizing radiation"
"W89","Exposure to man-made visible and ultraviolet light"
"W90","Exposure to other nonionizing radiation"
"W91","Exposure to unspecified type of radiation"
"W92","Exposure to excessive heat of man-made origin"
"W93","Exposure to excessive cold of man-made origin"
"W94","Exposure to high and low air pressure and changes in air pressure"
"W99","Exposure to other and unspecified man-made environmental factors"
"X00","Exposure to uncontrolled fire in building or structure"
